frase_italiana,codice_python
esponi 754,print(754)
esponi 755,print(755)
esponi 756,print(756)
esponi 757,print(757)
esponi 758,print(758)
esponi 759,print(759)
esponi 760,print(760)
esponi numero 760,print(760)
esponi il valore 760,print(760)
esponi 761,print(761)
esponi 762,print(762)
esponi 763,print(763)
esponi 764,print(764)
esponi 765,print(765)
esponi 766,print(766)
esponi 767,print(767)
esponi 768,print(768)
esponi 769,print(769)
esponi 770,print(770)
esponi numero 770,print(770)
esponi il valore 770,print(770)
esponi 771,print(771)
esponi 772,print(772)
esponi 773,print(773)
esponi 774,print(774)
esponi 775,print(775)
esponi 776,print(776)
esponi 777,print(777)
esponi 778,print(778)
esponi 779,print(779)
esponi 780,print(780)
esponi numero 780,print(780)
esponi il valore 780,print(780)
esponi 781,print(781)
esponi 782,print(782)
esponi 783,print(783)
esponi 784,print(784)
esponi 785,print(785)
esponi 786,print(786)
esponi 787,print(787)
esponi 788,print(788)
esponi 789,print(789)
esponi 790,print(790)
esponi numero 790,print(790)
esponi il valore 790,print(790)
esponi 791,print(791)
esponi 792,print(792)
esponi 793,print(793)
esponi 794,print(794)
esponi 795,print(795)
esponi 796,print(796)
esponi 797,print(797)
esponi 798,print(798)
esponi 799,print(799)
esponi 800,print(800)
esponi numero 800,print(800)
esponi il valore 800,print(800)
esponi 801,print(801)
esponi 802,print(802)
esponi 803,print(803)
esponi 804,print(804)
esponi 805,print(805)
esponi 806,print(806)
esponi 807,print(807)
esponi 808,print(808)
esponi 809,print(809)
esponi 810,print(810)
esponi numero 810,print(810)
esponi il valore 810,print(810)
esponi 811,print(811)
esponi 812,print(812)
esponi 813,print(813)
esponi 814,print(814)
esponi 815,print(815)
esponi 816,print(816)
esponi 817,print(817)
esponi 818,print(818)
esponi 819,print(819)
esponi 820,print(820)
esponi numero 820,print(820)
esponi il valore 820,print(820)
esponi 821,print(821)
esponi 822,print(822)
esponi 823,print(823)
esponi 824,print(824)
esponi 825,print(825)
esponi 826,print(826)
esponi 827,print(827)
esponi 828,print(828)
esponi 829,print(829)
esponi 830,print(830)
esponi numero 830,print(830)
esponi il valore 830,print(830)
esponi 831,print(831)
esponi 832,print(832)
esponi 833,print(833)
esponi 834,print(834)
esponi 835,print(835)
esponi 836,print(836)
esponi 837,print(837)
esponi 838,print(838)
esponi 839,print(839)
esponi 840,print(840)
esponi numero 840,print(840)
esponi il valore 840,print(840)
esponi 841,print(841)
esponi 842,print(842)
esponi 843,print(843)
esponi 844,print(844)
esponi 845,print(845)
esponi 846,print(846)
esponi 847,print(847)
esponi 848,print(848)
esponi 849,print(849)
esponi 850,print(850)
esponi numero 850,print(850)
esponi il valore 850,print(850)
esponi 851,print(851)
esponi 852,print(852)
esponi 853,print(853)
esponi 854,print(854)
esponi 855,print(855)
esponi 856,print(856)
esponi 857,print(857)
esponi 858,print(858)
esponi 859,print(859)
esponi 860,print(860)
esponi numero 860,print(860)
esponi il valore 860,print(860)
esponi 861,print(861)
esponi 862,print(862)
esponi 863,print(863)
esponi 864,print(864)
esponi 865,print(865)
esponi 866,print(866)
esponi 867,print(867)
esponi 868,print(868)
esponi 869,print(869)
esponi 870,print(870)
esponi numero 870,print(870)
esponi il valore 870,print(870)
esponi 871,print(871)
esponi 872,print(872)
esponi 873,print(873)
esponi 874,print(874)
esponi 875,print(875)
esponi 876,print(876)
esponi 877,print(877)
esponi 878,print(878)
esponi 879,print(879)
esponi 880,print(880)
esponi numero 880,print(880)
esponi il valore 880,print(880)
esponi 881,print(881)
esponi 882,print(882)
esponi 883,print(883)
esponi 884,print(884)
esponi 885,print(885)
esponi 886,print(886)
esponi 887,print(887)
esponi 888,print(888)
esponi 889,print(889)
esponi 890,print(890)
esponi numero 890,print(890)
esponi il valore 890,print(890)
esponi 891,print(891)
esponi 892,print(892)
esponi 893,print(893)
esponi 894,print(894)
esponi 895,print(895)
esponi 896,print(896)
esponi 897,print(897)
esponi 898,print(898)
esponi 899,print(899)
esponi 900,print(900)
esponi numero 900,print(900)
esponi il valore 900,print(900)
esponi 901,print(901)
esponi 902,print(902)
esponi 903,print(903)
esponi 904,print(904)
esponi 905,print(905)
esponi 906,print(906)
esponi 907,print(907)
esponi 908,print(908)
esponi 909,print(909)
esponi 910,print(910)
esponi numero 910,print(910)
esponi il valore 910,print(910)
esponi 911,print(911)
esponi 912,print(912)
esponi 913,print(913)
esponi 914,print(914)
esponi 915,print(915)
esponi 916,print(916)
esponi 917,print(917)
esponi 918,print(918)
esponi 919,print(919)
esponi 920,print(920)
esponi numero 920,print(920)
esponi il valore 920,print(920)
esponi 921,print(921)
esponi 922,print(922)
esponi 923,print(923)
esponi 924,print(924)
esponi 925,print(925)
esponi 926,print(926)
esponi 927,print(927)
esponi 928,print(928)
esponi 929,print(929)
esponi 930,print(930)
esponi numero 930,print(930)
esponi il valore 930,print(930)
esponi 931,print(931)
esponi 932,print(932)
esponi 933,print(933)
esponi 934,print(934)
esponi 935,print(935)
esponi 936,print(936)
esponi 937,print(937)
esponi 938,print(938)
esponi 939,print(939)
esponi 940,print(940)
esponi numero 940,print(940)
esponi il valore 940,print(940)
esponi 941,print(941)
esponi 942,print(942)
esponi 943,print(943)
esponi 944,print(944)
esponi 945,print(945)
esponi 946,print(946)
esponi 947,print(947)
esponi 948,print(948)
esponi 949,print(949)
esponi 950,print(950)
esponi numero 950,print(950)
esponi il valore 950,print(950)
esponi 951,print(951)
esponi 952,print(952)
esponi 953,print(953)
esponi 954,print(954)
esponi 955,print(955)
esponi 956,print(956)
esponi 957,print(957)
esponi 958,print(958)
esponi 959,print(959)
esponi 960,print(960)
esponi numero 960,print(960)
esponi il valore 960,print(960)
esponi 961,print(961)
esponi 962,print(962)
esponi 963,print(963)
esponi 964,print(964)
esponi 965,print(965)
esponi 966,print(966)
esponi 967,print(967)
esponi 968,print(968)
esponi 969,print(969)
esponi 970,print(970)
esponi numero 970,print(970)
esponi il valore 970,print(970)
esponi 971,print(971)
esponi 972,print(972)
esponi 973,print(973)
esponi 974,print(974)
esponi 975,print(975)
esponi 976,print(976)
esponi 977,print(977)
esponi 978,print(978)
esponi 979,print(979)
esponi 980,print(980)
esponi numero 980,print(980)
esponi il valore 980,print(980)
esponi 981,print(981)
esponi 982,print(982)
esponi 983,print(983)
esponi 984,print(984)
esponi 985,print(985)
esponi 986,print(986)
esponi 987,print(987)
esponi 988,print(988)
esponi 989,print(989)
esponi 990,print(990)
esponi numero 990,print(990)
esponi il valore 990,print(990)
esponi 991,print(991)
esponi 992,print(992)
esponi 993,print(993)
esponi 994,print(994)
esponi 995,print(995)
esponi 996,print(996)
esponi 997,print(997)
esponi 998,print(998)
esponi 999,print(999)
esponi 1000,print(1000)
esponi numero 1000,print(1000)
esponi il valore 1000,print(1000)
output 0,print(0)
output numero 0,print(0)
output il valore 0,print(0)
output 1,print(1)
output 2,print(2)
output 3,print(3)
output 4,print(4)
output 5,print(5)
output 6,print(6)
output 7,print(7)
output 8,print(8)
output 9,print(9)
output 10,print(10)
output numero 10,print(10)
output il valore 10,print(10)
output 11,print(11)
output 12,print(12)
output 13,print(13)
output 14,print(14)
output 15,print(15)
output 16,print(16)
output 17,print(17)
output 18,print(18)
output 19,print(19)
output 20,print(20)
output numero 20,print(20)
output il valore 20,print(20)
output 21,print(21)
output 22,print(22)
output 23,print(23)
output 24,print(24)
output 25,print(25)
output 26,print(26)
output 27,print(27)
output 28,print(28)
output 29,print(29)
output 30,print(30)
output numero 30,print(30)
output il valore 30,print(30)
output 31,print(31)
output 32,print(32)
output 33,print(33)
output 34,print(34)
output 35,print(35)
output 36,print(36)
output 37,print(37)
output 38,print(38)
output 39,print(39)
output 40,print(40)
output numero 40,print(40)
output il valore 40,print(40)
output 41,print(41)
output 42,print(42)
output 43,print(43)
output 44,print(44)
output 45,print(45)
output 46,print(46)
output 47,print(47)
output 48,print(48)
output 49,print(49)
output 50,print(50)
output numero 50,print(50)
output il valore 50,print(50)
output 51,print(51)
output 52,print(52)
output 53,print(53)
output 54,print(54)
output 55,print(55)
output 56,print(56)
output 57,print(57)
output 58,print(58)
output 59,print(59)
output 60,print(60)
output numero 60,print(60)
output il valore 60,print(60)
output 61,print(61)
output 62,print(62)
output 63,print(63)
output 64,print(64)
output 65,print(65)
output 66,print(66)
output 67,print(67)
output 68,print(68)
output 69,print(69)
output 70,print(70)
output numero 70,print(70)
output il valore 70,print(70)
output 71,print(71)
output 72,print(72)
output 73,print(73)
output 74,print(74)
output 75,print(75)
output 76,print(76)
output 77,print(77)
output 78,print(78)
output 79,print(79)
output 80,print(80)
output numero 80,print(80)
output il valore 80,print(80)
output 81,print(81)
output 82,print(82)
output 83,print(83)
output 84,print(84)
output 85,print(85)
output 86,print(86)
output 87,print(87)
output 88,print(88)
output 89,print(89)
output 90,print(90)
output numero 90,print(90)
output il valore 90,print(90)
output 91,print(91)
output 92,print(92)
output 93,print(93)
output 94,print(94)
output 95,print(95)
output 96,print(96)
output 97,print(97)
output 98,print(98)
output 99,print(99)
output 100,print(100)
output numero 100,print(100)
output il valore 100,print(100)
output 101,print(101)
output 102,print(102)
output 103,print(103)
output 104,print(104)
output 105,print(105)
output 106,print(106)
output 107,print(107)
output 108,print(108)
output 109,print(109)
output 110,print(110)
output numero 110,print(110)
output il valore 110,print(110)
output 111,print(111)
output 112,print(112)
output 113,print(113)
output 114,print(114)
output 115,print(115)
output 116,print(116)
output 117,print(117)
output 118,print(118)
output 119,print(119)
output 120,print(120)
output numero 120,print(120)
output il valore 120,print(120)
output 121,print(121)
output 122,print(122)
output 123,print(123)
output 124,print(124)
output 125,print(125)
output 126,print(126)
output 127,print(127)
output 128,print(128)
output 129,print(129)
output 130,print(130)
output numero 130,print(130)
output il valore 130,print(130)
output 131,print(131)
output 132,print(132)
output 133,print(133)
output 134,print(134)
output 135,print(135)
output 136,print(136)
output 137,print(137)
output 138,print(138)
output 139,print(139)
output 140,print(140)
output numero 140,print(140)
output il valore 140,print(140)
output 141,print(141)
output 142,print(142)
output 143,print(143)
output 144,print(144)
output 145,print(145)
output 146,print(146)
output 147,print(147)
output 148,print(148)
output 149,print(149)
output 150,print(150)
output numero 150,print(150)
output il valore 150,print(150)
output 151,print(151)
output 152,print(152)
output 153,print(153)
output 154,print(154)
output 155,print(155)
output 156,print(156)
output 157,print(157)
output 158,print(158)
output 159,print(159)
output 160,print(160)
output numero 160,print(160)
output il valore 160,print(160)
output 161,print(161)
output 162,print(162)
output 163,print(163)
output 164,print(164)
output 165,print(165)
output 166,print(166)
output 167,print(167)
output 168,print(168)
output 169,print(169)
output 170,print(170)
output numero 170,print(170)
output il valore 170,print(170)
output 171,print(171)
output 172,print(172)
output 173,print(173)
output 174,print(174)
output 175,print(175)
output 176,print(176)
output 177,print(177)
output 178,print(178)
output 179,print(179)
output 180,print(180)
output numero 180,print(180)
output il valore 180,print(180)
output 181,print(181)
output 182,print(182)
output 183,print(183)
output 184,print(184)
output 185,print(185)
output 186,print(186)
output 187,print(187)
output 188,print(188)
output 189,print(189)
output 190,print(190)
output numero 190,print(190)
output il valore 190,print(190)
output 191,print(191)
output 192,print(192)
output 193,print(193)
output 194,print(194)
output 195,print(195)
output 196,print(196)
output 197,print(197)
output 198,print(198)
output 199,print(199)
output 200,print(200)
output numero 200,print(200)
output il valore 200,print(200)
output 201,print(201)
output 202,print(202)
output 203,print(203)
output 204,print(204)
output 205,print(205)
output 206,print(206)
output 207,print(207)
output 208,print(208)
output 209,print(209)
output 210,print(210)
output numero 210,print(210)
output il valore 210,print(210)
output 211,print(211)
output 212,print(212)
output 213,print(213)
output 214,print(214)
output 215,print(215)
output 216,print(216)
output 217,print(217)
output 218,print(218)
output 219,print(219)
output 220,print(220)
output numero 220,print(220)
output il valore 220,print(220)
output 221,print(221)
output 222,print(222)
output 223,print(223)
output 224,print(224)
output 225,print(225)
output 226,print(226)
output 227,print(227)
output 228,print(228)
output 229,print(229)
output 230,print(230)
output numero 230,print(230)
output il valore 230,print(230)
output 231,print(231)
output 232,print(232)
output 233,print(233)
output 234,print(234)
output 235,print(235)
output 236,print(236)
output 237,print(237)
output 238,print(238)
output 239,print(239)
output 240,print(240)
output numero 240,print(240)
output il valore 240,print(240)
output 241,print(241)
output 242,print(242)
output 243,print(243)
output 244,print(244)
output 245,print(245)
output 246,print(246)
output 247,print(247)
output 248,print(248)
output 249,print(249)
output 250,print(250)
output numero 250,print(250)
output il valore 250,print(250)
output 251,print(251)
output 252,print(252)
output 253,print(253)
output 254,print(254)
output 255,print(255)
output 256,print(256)
output 257,print(257)
output 258,print(258)
output 259,print(259)
output 260,print(260)
output numero 260,print(260)
output il valore 260,print(260)
output 261,print(261)
output 262,print(262)
output 263,print(263)
output 264,print(264)
output 265,print(265)
output 266,print(266)
output 267,print(267)
output 268,print(268)
output 269,print(269)
output 270,print(270)
output numero 270,print(270)
output il valore 270,print(270)
output 271,print(271)
output 272,print(272)
output 273,print(273)
output 274,print(274)
output 275,print(275)
output 276,print(276)
output 277,print(277)
output 278,print(278)
output 279,print(279)
output 280,print(280)
output numero 280,print(280)
output il valore 280,print(280)
output 281,print(281)
output 282,print(282)
output 283,print(283)
output 284,print(284)
output 285,print(285)
output 286,print(286)
output 287,print(287)
output 288,print(288)
output 289,print(289)
output 290,print(290)
output numero 290,print(290)
output il valore 290,print(290)
output 291,print(291)
output 292,print(292)
output 293,print(293)
output 294,print(294)
output 295,print(295)
output 296,print(296)
output 297,print(297)
output 298,print(298)
output 299,print(299)
output 300,print(300)
output numero 300,print(300)
output il valore 300,print(300)
output 301,print(301)
output 302,print(302)
output 303,print(303)
output 304,print(304)
output 305,print(305)
output 306,print(306)
output 307,print(307)
output 308,print(308)
output 309,print(309)
output 310,print(310)
output numero 310,print(310)
output il valore 310,print(310)
output 311,print(311)
output 312,print(312)
output 313,print(313)
output 314,print(314)
output 315,print(315)
output 316,print(316)
output 317,print(317)
output 318,print(318)
output 319,print(319)
output 320,print(320)
output numero 320,print(320)
output il valore 320,print(320)
output 321,print(321)
output 322,print(322)
output 323,print(323)
output 324,print(324)
output 325,print(325)
output 326,print(326)
output 327,print(327)
output 328,print(328)
output 329,print(329)
output 330,print(330)
output numero 330,print(330)
output il valore 330,print(330)
output 331,print(331)
output 332,print(332)
output 333,print(333)
output 334,print(334)
output 335,print(335)
output 336,print(336)
output 337,print(337)
output 338,print(338)
output 339,print(339)
output 340,print(340)
output numero 340,print(340)
output il valore 340,print(340)
output 341,print(341)
output 342,print(342)
output 343,print(343)
output 344,print(344)
output 345,print(345)
output 346,print(346)
output 347,print(347)
output 348,print(348)
output 349,print(349)
output 350,print(350)
output numero 350,print(350)
output il valore 350,print(350)
output 351,print(351)
output 352,print(352)
output 353,print(353)
output 354,print(354)
output 355,print(355)
output 356,print(356)
output 357,print(357)
output 358,print(358)
output 359,print(359)
output 360,print(360)
output numero 360,print(360)
output il valore 360,print(360)
output 361,print(361)
output 362,print(362)
output 363,print(363)
output 364,print(364)
output 365,print(365)
output 366,print(366)
output 367,print(367)
output 368,print(368)
output 369,print(369)
output 370,print(370)
output numero 370,print(370)
output il valore 370,print(370)
output 371,print(371)
